cast,crew,date,link,playwright,playwright_formatted,playwright_formatted_long,poster_thumb_tag,run,season,title,type,venue,year_title
Theo James/Peter Day/Maryann O'Brien/Henry Proffitt/,Elle Hosie/Sam Turnbull/,2006-12-12,/years/06_07/absurd_person_singular/,Alan Ayckbourn,by Alan Ayckbourn,by Alan Ayckbourn,<a href='/years/06_07/absurd_person_singular/'><img src='https://photos.smugmug.com/photos/i-JpPZS57/0/86bc5164/128x162/i-JpPZS57-128x162.jpg' class='search-result-poster-thumb' alt='Absurd Person Singular poster' /></a>,12-15 December 2006,In House,Absurd Person Singular,show,New Theatre,2006-07
Magnus McCullagh/Edward Hancock/David Stephenson/Fran Roper/Alice Sander/Sam  Morris/,Charlie Brafman/Natasha Abrams/,2007-01-31,/years/06_07/cast_aside/,Charlie Brafman,by Charlie Brafman,by Charlie Brafman,<a href='/years/06_07/cast_aside/'><img src='https://photos.smugmug.com/photos/i-gDw5cnx/0/80cc36ef/128x162/i-gDw5cnx-128x162.jpg' class='search-result-poster-thumb' alt='Cast Aside poster' /></a>,31 January-2 February 2007,External,Cast Aside,show,New Theatre,2006-07
Maia Gibbs/,Sam German/,2007-05-02,/years/06_07/colder_than_here/,Laura Wade,by Laura Wade,by Laura Wade,NA,2-5 May 2007,In House,Colder than Here,show,New Theatre,2006-07
NA,NA,2007-04-23,/years/06_07/fear_and_misery_of_the_3rd_reich/,Bertolt Brecht,by Bertolt Brecht,by Bertolt Brecht,NA,23-28 April 2007,In House,Fear and Misery of the 3rd Reich,show,New Theatre,2006-07
NA,NA,2006-11-01,/years/06_07/fish_chips_and_mushy_peas/,Raj Karsandas and Golnar Aref-Adib,by Raj Karsandas and Golnar Aref-Adib,by Raj Karsandas and Golnar Aref-Adib,<a href='/years/06_07/fish_chips_and_mushy_peas/'><img src='https://photos.smugmug.com/photos/i-G3FkQ4g/0/e072d548/128x162/i-G3FkQ4g-128x162.jpg' class='search-result-poster-thumb' alt='Fish/Chips and Mushy Peas poster' /></a>,1-4 November 2006,In House,Fish/Chips and Mushy Peas,show,New Theatre,2006-07
NA,NA,NA,/years/06_07/great_expectations/,null,Playwright Unknown,Playwright Unknown,NA,2006-07 (Dates Unknown),Lakeside,Great Expectations,show,Djanogly Theatre,2006-07
Emily Medhurst/,NA,2007-03-20,/years/06_07/house_of_bernada_alba/,Frederico Garcia Lorca,by Frederico Garcia Lorca,by Frederico Garcia Lorca,<a href='/years/06_07/house_of_bernada_alba/'><img src='https://photos.smugmug.com/photos/i-4P3MdmM/1/0788630b/128x162/i-4P3MdmM-128x162.jpg' class='search-result-poster-thumb' alt='House of Bernada Alba poster' /></a>,20-13 March 2007,In House,House of Bernada Alba,show,New Theatre,2006-07
NA,NA,2006-11-15,/years/06_07/humble_boy/,Charlotte Jones,by Charlotte Jones,by Charlotte Jones,<a href='/years/06_07/humble_boy/'><img src='https://photos.smugmug.com/photos/i-VtFQ3pS/0/e5151f6a/128x162/i-VtFQ3pS-128x162.jpg' class='search-result-poster-thumb' alt='Humble Boy poster' /></a>,15-18 November 2006,In House,Humble Boy,show,New Theatre,2006-07
Nicole Pyrathon/,Meir Adler/,2007-06-06,/years/06_07/jack_and_jill/,Bethany Layne,by Bethany Layne,by Bethany Layne,NA,6-9 June 2007,In House,Jack and Jill,show,New Theatre,2006-07
NA,NA,2007-06-12,/years/06_07/lysistrata/,Aristophanes,by Aristophanes,by Aristophanes,NA,12-15 June 2007,In House,Lysistrata,show,New Theatre,2006-07
NA,NA,2006-11-08,/years/06_07/mrs_warrens_profession/,George Bernard Shaw,by George Bernard Shaw,by George Bernard Shaw,<a href='/years/06_07/mrs_warrens_profession/'><img src='https://photos.smugmug.com/photos/i-cw5Rv6v/0/29c46ba1/128x162/i-cw5Rv6v-128x162.jpg' class='search-result-poster-thumb' alt='Mrs Warren's Profession poster' /></a>,8-11 November 2006,In House,Mrs Warren's Profession,show,New Theatre,2006-07
Peter Carruthers/Guy Unsworth/Melanie Birkhead/Chris McDonald/James Rowe/,NA,2007-02-14,/years/06_07/my_fair_lady/,Alan Jay Lerner,by Alan Jay Lerner,by Alan Jay Lerner,NA,14-17 February 2007,External,My Fair Lady,show,New Theatre,2006-07
NA,NA,2007-03-07,/years/06_07/rough_for_theatre_ii__ohio_impromptu/,Samuel Beckett,by Samuel Beckett,by Samuel Beckett,NA,7-10 March 2007,In House,Rough for Theatre II / Ohio Impromptu,show,New Theatre,2006-07
Matthew Kelly/Natasha Karp/Chris Boobier/Oran Hassan/Albert Joseph/John Franklin/Michelle Ghatan/Ross Davies/Philip Raperport/Sam  Morris/,NA,2007-02-28,/years/06_07/stars_in_their_eyes_fundraiser_/,null,Playwright Unknown,Playwright Unknown,<a href='/years/06_07/stars_in_their_eyes_fundraiser_/'><img src='https://photos.smugmug.com/photos/i-WFmn24f/0/ec1ccc0d/128x162/i-WFmn24f-128x162.gif' class='search-result-poster-thumb' alt='Stars in Their Eyes poster' /></a>,28 February-3 March 2007,Fundraiser,Stars in Their Eyes,show,New Theatre,2006-07
NA,NA,NA,/years/06_07/sugar/,null,Playwright Unknown,Playwright Unknown,NA,2006-07 (Dates Unknown),In House,Sugar,show,New Theatre,2006-07
NA,NA,2007-02-21,/years/06_07/talking_to_terrorists/,Robin Soans,by Robin Soans,by Robin Soans,<a href='/years/06_07/talking_to_terrorists/'><img src='https://photos.smugmug.com/photos/i-PHzVMDc/0/52822f28/128x162/i-PHzVMDc-128x162.jpg' class='search-result-poster-thumb' alt='Talking to Terrorists poster' /></a>,21-24 February 2007,In House,Talking to Terrorists,show,New Theatre,2006-07
David Stephenson/Sam  Morris/David Netherton/Anna Dubuis/Philip Raperport/Jodie Burden/,Charlie Brafman/Natasha Abrams/Charlie Brafman/Matt Leventhall/Daniel Xavier Vizer/,2006-11-29,/years/06_07/the_flu_season/,Will Eno,by Will Eno,by Will Eno,<a href='/years/06_07/the_flu_season/'><img src='https://photos.smugmug.com/photos/i-5sNqfwQ/0/ebe13b9d/128x162/i-5sNqfwQ-128x162.jpg' class='search-result-poster-thumb' alt='The Flu Season poster' /></a>,29 November-2 December 2006,In House,The Flu Season,show,New Theatre,2006-07
Carly Taylor/,Sam Grafton/,2007-05-09,/years/06_07/the_seagull/,Anton Chekhov,by Anton Chekhov,by Anton Chekhov,<a href='/years/06_07/the_seagull/'><img src='https://photos.smugmug.com/photos/i-mxHBN6M/0/61976c49/128x162/i-mxHBN6M-128x162.jpg' class='search-result-poster-thumb' alt='The Seagull poster' /></a>,9-12 May 2007,Lakeside,The Seagull,show,Djanogly Theatre,2006-07
Maia Gibbs/,Sam German/,2007-08-02,/years/06_07/through_the_looking_glass/,Lewis Carroll,by Lewis Carroll,by Lewis Carroll; Adapted by Megan Allyse and Sam German,<a href='/years/06_07/through_the_looking_glass/'><img src='https://photos.smugmug.com/photos/i-bQqCXNK/1/0654a0da/128x162/i-bQqCXNK-128x162.jpg' class='search-result-poster-thumb' alt='Through the Looking Glass poster' /></a>,2-27 August 2007,Edinburgh,Through the Looking Glass,show,C too,2006-07
NA,NA,NA,/years/06_07/twinss/,Ali Blackwell,by Ali Blackwell,by Ali Blackwell,NA,2006-07 (Dates Unknown),Edinburgh,TwinSS,show,null,2006-07
Emily Medhurst/Carly Taylor/,NA,2007-02-08,/years/06_07/vagina_monologues/,Eve Ensler,by Eve Ensler,by Eve Ensler,NA,8-10 February 2007,In House,Vagina Monologues,show,New Theatre,2006-07
Magnus McCullagh/Theo James/,Charlie Brafman/Elle Hosie/Guy Unsworth/Nick Breen/Matt Leventhall/James Herbert/Maryann O'Brien/Harriet Burson Thomas/Daniel Xavier Vizer/,2007-03-14,/years/06_07/zoo_story/,Edward Albee,by Edward Albee,by Edward Albee,<a href='/years/06_07/zoo_story/'><img src='https://photos.smugmug.com/photos/i-DcqNvVt/0/b7083b9a/128x162/i-DcqNvVt-128x162.jpg' class='search-result-poster-thumb' alt='Zoo Story poster' /></a>,14-17 March 2007,In House,Zoo Story,show,New Theatre,2006-07
NA,Anthony Lau/,2007-11-07,/years/07_08/7_minutes_31/,Anthony Lau,by Anthony Lau,by Anthony Lau,<a href='/years/07_08/7_minutes_31/'><img src='https://photos.smugmug.com/photos/i-dp3kLTQ/0/c2846c25/128x162/i-dp3kLTQ-128x162.jpg' class='search-result-poster-thumb' alt='7 Minutes 31 poster' /></a>,7-10 November 2007,In House,7 Minutes 31,show,New Theatre,2007-08
NA,Palavi Dhody/,2008-06-04,/years/07_08/a_perfect_ganesh/,Terrence McNally,by Terrence McNally,by Terrence McNally,<a href='/years/07_08/a_perfect_ganesh/'><img src='https://photos.smugmug.com/photos/i-Cx2vX5M/0/dab67b90/128x162/i-Cx2vX5M-128x162.jpg' class='search-result-poster-thumb' alt='A Perfect Ganesh poster' /></a>,4-7 June 2008,In House,A Perfect Ganesh,show,New Theatre,2007-08
Maia Gibbs/,Anthony Lau/,2008-02-27,/years/07_08/after_miss_julie/,Patrick Marber,by Patrick Marber,by Patrick Marber,NA,27 February-1 March 2008,In House,After Miss Julie,show,New Theatre,2007-08
NA,Jackie Lee/Adam Paulden/,2007-10-24,/years/07_08/bouncers_shakers/,John Godber & Jane Thornton,by John Godber & Jane Thornton,by John Godber & Jane Thornton,<a href='/years/07_08/bouncers_shakers/'><img src='https://photos.smugmug.com/photos/i-RmvhJph/0/2dbb7dc2/128x162/i-RmvhJph-128x162.jpg' class='search-result-poster-thumb' alt='Bouncers & Shakers poster' /></a>,24-27 October 2007,In House,Bouncers & Shakers,show,New Theatre,2007-08
NA,Caroline Collier/Briony Gittins/,2007-11-18,/years/07_08/cant_stand_up_for_falling_down/,Richard Cameron,by Richard Cameron,by Richard Cameron,NA,18-20 November 2007,In House,Can't Stand Up For Falling Down,show,Lincoln Library,2007-08
Elle O'Rorke/,Fu Baxter/,2007-10-31,/years/07_08/crave/,Sarah Kane,by Sarah Kane,by Sarah Kane,<a href='/years/07_08/crave/'><img src='https://photos.smugmug.com/photos/i-K46gZ8Q/1/874dea89/128x162/i-K46gZ8Q-128x162.jpg' class='search-result-poster-thumb' alt='Crave poster' /></a>,31 October-3 November 2007,In House,Crave,show,New Theatre,2007-08
NA,Anthony Lau/unknown/,2008-08-13,/years/07_08/cross_stitching/,Anthony Lau,by Anthony Lau,by Anthony Lau,NA,13-25 August 2008,Edinburgh,Cross Stitching,show,C soco,2007-08
NA,Cal Lewis/Christey Nethercott/Jackie Lee/,2008-08-13,/years/07_08/crossing_the_rubicon/,null,Devised by Cal Lewis,Devised by Cal Lewis,<a href='/years/07_08/crossing_the_rubicon/'><img src='https://photos.smugmug.com/photos/i-XRtSC66/0/d446fc20/128x162/i-XRtSC66-128x162.jpg' class='search-result-poster-thumb' alt='Crossing the Rubicon poster' /></a>,13-25 August 2008,Edinburgh,Crossing the Rubicon,show,C soco,2007-08
Sam  Morris/Tom Warren/,Cal Lewis/Matt Leventhall/,2007-11-28,/years/07_08/death_of_a_salesman/,Arthur Miller,by Arthur Miller,by Arthur Miller,NA,28 November-1 December 2007,In House,Death of a Salesman,show,New Theatre,2007-08
Pete Day/Fiona Hamilton/,David Betz-Heinemann/,2007-12-11,/years/07_08/disco_pigs/,Enda Walsh,by Enda Walsh,by Enda Walsh,<a href='/years/07_08/disco_pigs/'><img src='https://photos.smugmug.com/photos/i-nK6fWMQ/0/0b81a29f/128x162/i-nK6fWMQ-128x162.jpg' class='search-result-poster-thumb' alt='Disco Pigs poster' /></a>,11-14 December 2007,In House,Disco Pigs,show,New Theatre,2007-08
NA,Nick Moran/,2008-05-07,/years/07_08/good_morning_and_goodbye/,Nick Moran,by Nick Moran,by Nick Moran,NA,7-10 May 2008,In House,Good Morning and Goodbye,show,New Theatre,2007-08
NA,Edward Hancock/,2008-03-11,/years/07_08/half_a_heartbeat/,Edward Hancock,by Edward Hancock,by Edward Hancock,<a href='/years/07_08/half_a_heartbeat/'><img src='https://photos.smugmug.com/photos/i-MpLBmjw/1/15eb6627/128x162/i-MpLBmjw-128x162.jpg' class='search-result-poster-thumb' alt='Half a Heartbeat poster' /></a>,11-14 March 2008,Fundraiser,Half a Heartbeat,show,New Theatre,2007-08
Ali Blackwell/Michelle Ghatan/Tom Pinny/Clare Salter/Nick Medhurst/,Charlie Brafman/Caroline Cox/Daniel Xavier Vizer/Emily Goddard/Matt Lee/James Herbert/Ed Poole/David Stephenson/,2007-12-05,/years/07_08/macbeth/,William Shakespeare,by William Shakespeare,by William Shakespeare; Adapted by James Phillips,<a href='/years/07_08/macbeth/'><img src='https://photos.smugmug.com/photos/i-pCd4Hsc/0/e0d7ab27/128x162/i-pCd4Hsc-128x162.gif' class='search-result-poster-thumb' alt='Macbeth poster' /></a>,5-8 December 2007,In House,Macbeth,show,New Theatre,2007-08
NA,NA,2008-06-12,/years/07_08/metamorphoses/,Mary Zimmermann,by Mary Zimmermann,by Mary Zimmermann,<a href='/years/07_08/metamorphoses/'><img src='https://photos.smugmug.com/photos/i-g4K2bmx/0/c5fa5c8c/128x162/i-g4K2bmx-128x162.jpg' class='search-result-poster-thumb' alt='Metamorphoses poster' /></a>,12-14 June 2008,Postgrads,Metamorphoses,show,New Theatre,2007-08
Mathilda Holland/Stephen Jarr/,NA,2007-10-17,/years/07_08/mixed_doubles/,null,Playwright Unknown,Playwright Unknown,NA,17-18 October 2007,In House,Mixed Doubles,show,New Theatre,2007-08
Christey Nethercott/,Meir Adler/,2007-10-31,/years/07_08/no_exit/,Jean-Paul Sartre,by Jean-Paul Sartre,by Jean-Paul Sartre,<a href='/years/07_08/no_exit/'><img src='https://photos.smugmug.com/photos/i-K46gZ8Q/1/874dea89/128x162/i-K46gZ8Q-128x162.jpg' class='search-result-poster-thumb' alt='No Exit poster' /></a>,31 October-3 November 2007,In House,No Exit,show,New Theatre,2007-08
NA,Johnny Steer/,2008-03-05,/years/07_08/out_of_order/,Ray Cooney,by Ray Cooney,by Ray Cooney,<a href='/years/07_08/out_of_order/'><img src='https://photos.smugmug.com/photos/i-DrCkqRF/0/2f913155/128x162/i-DrCkqRF-128x162.jpg' class='search-result-poster-thumb' alt='Out of Order poster' /></a>,5-8 March 2008,In House,Out of Order,show,New Theatre,2007-08
Lizzie Bourne/Anna Wheatley/,Guy Unsworth/,2007-11-14,/years/07_08/proof/,David Auburn,by David Auburn,by David Auburn,<a href='/years/07_08/proof/'><img src='https://photos.smugmug.com/photos/i-47KDH35/0/a0f63f84/128x162/i-47KDH35-128x162.jpg' class='search-result-poster-thumb' alt='Proof poster' /></a>,14-17 November 2007,In House,Proof,show,New Theatre,2007-08
NA,Andy McNamee/Matt Leventhall/,2008-04-16,/years/07_08/rosencrantz_guildenstern_are_dead/,Tom Stoppard,by Tom Stoppard,by Tom Stoppard,NA,16-19 April 2008,In House,Rosencrantz and Guildenstern Are Dead,show,New Theatre,2007-08
Elle O'Rorke/,Luke Leonard/,2008-05-07,/years/07_08/the_box/,Luke Leonard,by Luke Leonard,by Luke Leonard,NA,7-10 May 2008,In House,The Box,show,New Theatre,2007-08
NA,NA,2008-02-13,/years/07_08/the_cranberry_chamber/,null,Playwright Unknown,Playwright Unknown,NA,13-16 February 2008,External,The Cranberry Chamber,show,New Theatre,2007-08
Christey Nethercott/,Cal Lewis/,2008-04-30,/years/07_08/the_crucible/,Arthur Miller,by Arthur Miller,by Arthur Miller,NA,30 April-3 May 2008,In House,The Crucible,show,New Theatre,2007-08
NA,NA,2008-02-01,/years/07_08/the_curse_of_the_devils_verse/,Nic Harvey,by Nic Harvey,by Nic Harvey,NA,1 February 2008,External,The Curse of the Devil's Verse,show,New Theatre,2007-08
NA,Robert Jones/,2008-03-11,/years/07_08/the_dragon_botherers/,Robert Jones,by Robert Jones,by Robert Jones,NA,11-14 March 2008,Fundraiser,The Dragon Botherers,show,New Theatre,2007-08
NA,Maia Gibbs/,2007-11-21,/years/07_08/the_lonesome_west/,Martin McDonagh,by Martin McDonagh,by Martin McDonagh,NA,21-24 November 2007,In House,The Lonesome West,show,New Theatre,2007-08
Theo James/,NA,2007-10-13,/years/07_08/the_slippery_soapbox/,null,Playwright Unknown,Playwright Unknown,NA,13 October 2007,In House,The Slippery SoapboxSpot Banded Skat,show,New Theatre,2007-08
Sam  Morris/Adam Wood/Ben Bloom/Holly Preston/Polly Keane/Charlie Eccleshare/,Charlie Brafman/Daniel Xavier Vizer/,2008-04-23,/years/07_08/the_third_condiment/,Ben Brafman and Charlie Brafman,by Ben Brafman and Charlie Brafman,by Ben Brafman and Charlie Brafman,<a href='/years/07_08/the_third_condiment/'><img src='https://photos.smugmug.com/photos/i-35qpnSK/0/986114a7/128x162/i-35qpnSK-128x162.gif' class='search-result-poster-thumb' alt='The Third Condiment poster' /></a>,23-26 April 2008,In House,The Third Condiment,show,New Theatre,2007-08
NA,NA,2008-02-06,/years/07_08/twinss/,Ali Blackwell,by Ali Blackwell,by Ali Blackwell,<a href='/years/07_08/twinss/'><img src='https://photos.smugmug.com/photos/i-zbFN269/0/e638f9aa/128x162/i-zbFN269-128x162.jpg' class='search-result-poster-thumb' alt='TwinSS poster' /></a>,6-9 February 2008,External,TwinSS,show,New Theatre,2007-08
NA,Nick Moran/,2007-11-07,/years/07_08/under_the_blacklight/,Nick Moran,by Nick Moran,by Nick Moran,<a href='/years/07_08/under_the_blacklight/'><img src='https://photos.smugmug.com/photos/i-m3rrhCT/0/ab73bacb/128x162/i-m3rrhCT-128x162.jpg' class='search-result-poster-thumb' alt='Under the Blacklight poster' /></a>,7-10 November 2007,In House,Under the Blacklight,show,New Theatre,2007-08
NA,Tom Warren/,2008-04-23,/years/07_08/under_the_impression/,Tom Warren,by Tom Warren,by Tom Warren,NA,23-26 April 2008,In House,Under the Impression,show,New Theatre,2007-08
NA,NA,2009-02-19,/years/08_09/a_bunch_of_talentless_wannabes/,null,Playwright Unknown,Playwright Unknown,<a href='/years/08_09/a_bunch_of_talentless_wannabes/'><img src='https://photos.smugmug.com/photos/i-8rDpXfK/0/08feef61/128x162/i-8rDpXfK-128x162.jpg' class='search-result-poster-thumb' alt='A Bunch Of Talentless Wannabe's poster' /></a>,19-21 February 2009,Fundraiser,A Bunch Of Talentless Wannabe's,show,New Theatre,2008-09
NA,Fu Baxter/Yichen Wu/Emma Rutherford/,2008-10-26,/years/08_09/a_clockwork_orange/,Anthony Burgess,by Anthony Burgess,by Anthony Burgess,<a href='/years/08_09/a_clockwork_orange/'><img src='https://photos.smugmug.com/photos/i-HRfjFr7/0/cebe71e5/128x162/i-HRfjFr7-128x162.jpg' class='search-result-poster-thumb' alt='A Clockwork Orange poster' /></a>,26 October-1 November 2008,In House,A Clockwork Orange,show,New Theatre,2008-09
Nick Medhurst/,Andy McNamee/Matt Leventhall/,2008-12-09,/years/08_09/accidental_death_of_an_anarchist/,Dario Fo,by Dario Fo,by Dario Fo,<a href='/years/08_09/accidental_death_of_an_anarchist/'><img src='https://photos.smugmug.com/photos/i-kb6c29Q/0/be05e1a1/128x162/i-kb6c29Q-128x162.jpg' class='search-result-poster-thumb' alt='Accidental Death of an Anarchist poster' /></a>,9-14 December 2008,In House,Accidental Death of an Anarchist,show,New Theatre,2008-09
NA,Cal Lewis/Jackie Lee/,NA,/years/08_09/crossing_the_rubicon/,null,Devised by Cal Lewis,Devised by Cal Lewis,<a href='/years/08_09/crossing_the_rubicon/'><img src='https://photos.smugmug.com/photos/i-XRtSC66/0/d446fc20/128x162/i-XRtSC66-128x162.jpg' class='search-result-poster-thumb' alt='Crossing the Rubicon poster' /></a>,2008-09 (Dates Unknown),In House,Crossing the Rubicon,show,New Theatre,2008-09
Liz Stevenson/David Edgercoomb/Lucy Butler/,NA,2009-02-25,/years/08_09/habeas_corpus/,Alan Bennett,by Alan Bennett,by Alan Bennett,<a href='/years/08_09/habeas_corpus/'><img src='https://photos.smugmug.com/photos/i-Fb8GnsH/0/87be9318/128x162/i-Fb8GnsH-128x162.jpg' class='search-result-poster-thumb' alt='Habeas Corpus poster' /></a>,25-28 February 2009,In House,Habeas Corpus,show,New Theatre,2008-09
David Netherton/Douggie McMeekin/Victoria Auckland/Christey Nethercott/,James Lewis/,2008-12-03,/years/08_09/look_back_in_anger/,John Osborne,by John Osborne,by John Osborne,<a href='/years/08_09/look_back_in_anger/'><img src='https://photos.smugmug.com/photos/i-XsRrCnQ/0/fa127e0b/128x162/i-XsRrCnQ-128x162.jpg' class='search-result-poster-thumb' alt='Look Back in Anger poster' /></a>,3-6 December 2008,In House,Look Back in Anger,show,New Theatre,2008-09
NA,NA,NA,/years/08_09/metamorphoses/,Mary Zimmermann,by Mary Zimmermann,by Mary Zimmermann,NA,2008-09 (Dates Unknown),In House,Metamorphoses,show,New Theatre,2008-09
Rose Eccleshare/,Adam Wood/Lauren Knight/,2008-11-26,/years/08_09/natures_pretenders/,Adam Wood,by Adam Wood,by Adam Wood,<a href='/years/08_09/natures_pretenders/'><img src='https://photos.smugmug.com/photos/i-v8wKrxF/0/d14d211c/128x162/i-v8wKrxF-128x162.jpg' class='search-result-poster-thumb' alt='Nature's Pretenders poster' /></a>,26-29 November 2008,In House,Nature's Pretenders,show,New Theatre,2008-09
Anna Sheriff/Lizzie Bourne/Lucy Butler/RJ/Harry Anton/Rosie Tressler/Laura Whittaker/Katie Sawhill/,Elle O'Rorke/Kate Scott/Philip Geller/Bora Hunja/Elle O'Rorke/Nathan Peart/,2008-11-05,/years/08_09/nowhere_warm/,Elle O'Rorke,by Elle O'Rorke,by Elle O'Rorke,<a href='/years/08_09/nowhere_warm/'><img src='https://photos.smugmug.com/photos/i-QFphdj3/0/1dac0b9e/128x162/i-QFphdj3-128x162.jpg' class='search-result-poster-thumb' alt='Nowhere Warm poster' /></a>,5-8 November 2008,In House,Nowhere Warm,show,New Theatre,2008-09
Elle O'Rorke/Ben Cave/Lee Denny/Fran Rylands/Theo James/,Lizzie Bourne/Nicci Samuels/Matt Leventhall/Emily O'Dwyer/,2009-06-10,/years/08_09/romeo_and_juliet/,William Shakespeare,by William Shakespeare,by William Shakespeare,<a href='/years/08_09/romeo_and_juliet/'><img src='https://photos.smugmug.com/photos/i-xXp6TNr/0/11cc3985/128x162/i-xXp6TNr-128x162.jpg' class='search-result-poster-thumb' alt='Romeo and Juliet poster' /></a>,10-13 June 2009,In House,Romeo and Juliet,show,New Theatre,2008-09
NA,Rebecca Catlin/,2009-05-13,/years/08_09/shoot_get_treasure_repeat/,Mark Ravenhill,by Mark Ravenhill,by Mark Ravenhill,<a href='/years/08_09/shoot_get_treasure_repeat/'><img src='https://photos.smugmug.com/photos/i-SvL5Gqz/0/369ac2a7/128x162/i-SvL5Gqz-128x162.jpg' class='search-result-poster-thumb' alt='Shoot/Get Treasure/Repeat poster' /></a>,13-16 May 2009,In House,Shoot/Get Treasure/Repeat,show,New Theatre,2008-09
